job,start_time,end_time,elapse,state,ip
mapping,58:21.7,58:59.5,37,COMPLETE,14.12.63.164
mapping,58:21.5,59:00.8,39,COMPLETE,14.12.57.190
mapping,58:21.5,58:59.5,37,COMPLETE,14.12.63.45
mapping,58:21.6,58:59.2,37,COMPLETE,14.12.55.48
mapping,58:21.6,59:00.8,39,COMPLETE,14.12.49.189
mapping,58:21.3,59:00.4,39,COMPLETE,14.12.50.252
mapping,58:21.7,58:59.4,37,COMPLETE,14.12.56.81
mapping,58:21.3,59:00.9,39,COMPLETE,14.12.53.71
mapping,58:21.6,59:00.4,38,COMPLETE,14.12.53.84
mapping,58:21.6,59:00.1,38,COMPLETE,14.12.48.59
mapping,58:21.3,59:00.0,38,COMPLETE,14.12.49.13
mapping,58:21.7,59:00.9,39,COMPLETE,14.12.53.149
mapping,58:21.7,58:59.8,38,COMPLETE,14.12.60.177
mapping,58:21.3,59:02.5,41,COMPLETE,14.12.51.142
mapping,58:21.5,59:02.8,41,COMPLETE,14.12.59.5
mapping,58:21.7,59:03.3,41,COMPLETE,14.12.16.140
mapping,58:21.2,59:02.9,41,COMPLETE,14.12.53.13
mapping,58:21.6,59:02.8,41,COMPLETE,14.12.51.52
mapping,58:21.3,59:03.4,42,COMPLETE,14.12.54.148
mapping,58:21.6,59:02.6,41,COMPLETE,14.12.51.75
mapping,58:21.6,59:03.4,41,COMPLETE,14.12.56.52
mapping,58:21.4,59:03.6,42,COMPLETE,14.12.48.170
mapping,58:21.5,59:01.5,40,COMPLETE,14.12.48.223
mapping,58:21.3,59:02.8,41,COMPLETE,14.12.49.82
mapping,58:21.4,59:02.5,41,COMPLETE,14.12.61.156
mapping,58:21.5,59:05.5,44,COMPLETE,14.12.20.169
mapping,58:21.3,59:04.6,43,COMPLETE,14.12.54.118
mapping,58:21.3,59:04.1,42,COMPLETE,14.12.53.128
mapping,58:21.4,59:04.4,43,COMPLETE,14.12.49.111
mapping,58:21.5,59:04.2,42,COMPLETE,14.12.62.39
mapping,58:21.5,59:04.6,43,COMPLETE,14.12.58.106
mapping,58:21.6,59:05.1,43,COMPLETE,14.12.59.57
mapping,58:21.6,59:04.5,42,COMPLETE,14.12.61.103
mapping,58:21.5,59:06.6,45,COMPLETE,14.12.29.114
mapping,58:21.6,59:09.9,48,COMPLETE,14.12.16.49
mapping,58:53.8,59:13.5,19,COMPLETE,14.12.51.73
mapping,58:54.1,59:12.1,18,COMPLETE,14.12.18.169
mapping,58:57.2,59:13.5,16,COMPLETE,14.12.60.36
mapping,58:21.8,59:15.9,54,COMPLETE,14.12.20.48
mapping,58:51.3,59:14.5,23,COMPLETE,14.12.27.120
mapping,58:52.3,59:14.1,21,COMPLETE,14.12.55.233
mapping,58:52.6,59:15.8,23,COMPLETE,14.12.62.200
mapping,58:53.2,59:15.8,22,COMPLETE,14.12.57.17
mapping,58:53.5,59:16.2,22,COMPLETE,14.12.24.82
mapping,58:53.6,59:16.1,22,COMPLETE,14.12.50.31
mapping,58:53.8,59:14.5,20,COMPLETE,14.12.27.33
mapping,58:53.8,59:15.7,21,COMPLETE,14.12.21.136
mapping,58:54.1,59:15.8,21,COMPLETE,14.12.17.173
mapping,58:54.2,59:15.7,21,COMPLETE,14.12.60.251
