job,start_time,end_time,elapse,state,ip
vcf,07:31.4,09:11.9,100,COMPLETE,14.12.16.103
vcf,07:31.8,09:13.2,101,COMPLETE,14.12.31.194
vcf,07:31.3,09:14.7,103,COMPLETE,14.12.62.107
vcf,07:31.4,09:14.9,103,COMPLETE,14.12.30.19
vcf,07:31.6,09:15.8,104,COMPLETE,14.12.62.116
vcf,07:31.4,09:15.5,104,COMPLETE,14.12.56.136
vcf,07:31.4,09:14.8,103,COMPLETE,14.12.62.214
vcf,07:31.2,09:14.9,103,COMPLETE,14.12.19.109
vcf,07:31.8,09:14.2,102,COMPLETE,14.12.16.148
vcf,07:31.4,09:14.8,103,COMPLETE,14.12.19.124
vcf,07:31.6,09:14.9,103,COMPLETE,14.12.63.164
vcf,07:31.3,09:14.8,103,COMPLETE,14.12.48.170
vcf,07:31.4,09:14.8,103,COMPLETE,14.12.57.26
vcf,07:31.5,09:15.0,103,COMPLETE,14.12.58.146
vcf,07:31.1,09:13.9,102,COMPLETE,14.12.57.208
vcf,07:31.3,09:13.6,102,COMPLETE,14.12.21.185
vcf,07:31.6,09:15.9,104,COMPLETE,14.12.23.187
vcf,07:31.5,09:14.5,102,COMPLETE,14.12.59.69
vcf,07:31.8,09:15.4,103,COMPLETE,14.12.17.4
vcf,07:31.7,09:15.2,103,COMPLETE,14.12.28.73
vcf,07:31.1,09:14.6,103,COMPLETE,14.12.16.78
vcf,07:31.3,09:13.8,102,COMPLETE,14.12.54.178
vcf,07:31.5,09:17.9,106,COMPLETE,14.12.28.34
vcf,07:31.5,09:16.6,105,COMPLETE,14.12.59.225
vcf,07:31.5,09:16.8,105,COMPLETE,14.12.61.170
vcf,07:31.7,09:18.2,106,COMPLETE,14.12.22.163
vcf,07:31.3,09:16.6,105,COMPLETE,14.12.19.32
vcf,07:31.7,09:18.2,106,COMPLETE,14.12.22.163
vcf,07:31.4,09:16.9,105,COMPLETE,14.12.23.248
vcf,07:31.7,09:17.7,105,COMPLETE,14.12.17.231
vcf,07:31.7,09:17.3,105,COMPLETE,14.12.24.28
vcf,07:31.7,09:18.2,106,COMPLETE,14.12.28.204
vcf,07:31.8,09:18.1,106,COMPLETE,14.12.19.239
vcf,07:31.4,09:16.4,105,COMPLETE,14.12.16.183
vcf,07:31.4,09:16.7,105,COMPLETE,14.12.55.233
vcf,07:31.8,09:17.2,105,COMPLETE,14.12.23.7
vcf,07:31.3,09:16.5,105,COMPLETE,14.12.25.188
vcf,07:31.8,09:16.4,104,COMPLETE,14.12.19.239
vcf,07:31.3,09:16.8,105,COMPLETE,14.12.31.54
vcf,07:31.7,09:17.4,105,COMPLETE,14.12.28.204
vcf,07:31.4,09:16.4,105,COMPLETE,14.12.19.32
vcf,07:31.7,09:18.4,106,COMPLETE,14.12.24.158
vcf,07:31.7,09:17.2,105,COMPLETE,14.12.25.24
vcf,07:31.4,09:18.5,107,COMPLETE,14.12.23.49
vcf,07:31.4,09:18.5,107,COMPLETE,14.12.24.45
vcf,07:31.5,09:19.4,107,COMPLETE,14.12.48.216
vcf,07:31.4,09:20.1,108,COMPLETE,14.12.48.62
vcf,07:31.4,09:19.4,107,COMPLETE,14.12.49.186
vcf,07:31.6,09:18.4,106,COMPLETE,14.12.22.4
vcf,07:31.4,09:19.4,108,COMPLETE,14.12.48.211
vcf,07:31.4,09:19.0,107,COMPLETE,14.12.62.200
vcf,07:31.4,09:19.7,108,COMPLETE,14.12.61.177
vcf,07:31.5,09:20.0,108,COMPLETE,14.12.31.165
vcf,07:31.6,09:20.0,108,COMPLETE,14.12.28.34
vcf,07:31.8,09:19.7,107,COMPLETE,14.12.23.7
vcf,07:31.4,09:19.2,107,COMPLETE,14.12.20.169
vcf,07:31.7,09:19.1,107,COMPLETE,14.12.24.28
vcf,07:31.5,09:19.5,107,COMPLETE,14.12.27.167
vcf,07:31.8,09:20.4,108,COMPLETE,14.12.20.125
vcf,07:31.8,09:19.8,108,COMPLETE,14.12.16.76
vcf,07:31.2,09:19.2,107,COMPLETE,14.12.28.17
vcf,07:31.7,09:18.9,107,COMPLETE,14.12.30.207
vcf,07:31.5,09:20.5,108,COMPLETE,14.12.31.165
vcf,07:31.2,09:19.2,107,COMPLETE,14.12.28.17
vcf,07:31.2,09:21.0,109,COMPLETE,14.12.18.207
vcf,07:31.4,09:22.6,111,COMPLETE,14.12.28.251
vcf,07:31.3,09:22.3,111,COMPLETE,14.12.29.13
vcf,07:31.4,09:21.7,110,COMPLETE,14.12.25.191
vcf,07:31.7,09:21.4,109,COMPLETE,14.12.24.158
vcf,07:31.4,09:20.5,109,COMPLETE,14.12.59.14
vcf,07:31.3,09:20.6,109,COMPLETE,14.12.31.54
vcf,07:31.5,09:21.9,110,COMPLETE,14.12.22.67
vcf,07:31.8,09:22.9,111,COMPLETE,14.12.26.6
vcf,07:31.5,09:24.4,112,COMPLETE,14.12.23.69
vcf,07:31.4,09:23.3,111,COMPLETE,14.12.58.45
vcf,07:31.1,09:24.6,113,COMPLETE,14.12.28.248
vcf,07:31.5,09:24.9,113,COMPLETE,14.12.61.103
vcf,07:31.7,09:23.7,111,COMPLETE,14.12.26.147
vcf,07:31.2,09:24.0,112,COMPLETE,14.12.62.136
vcf,07:31.5,09:24.2,112,COMPLETE,14.12.22.67
vcf,07:31.3,09:22.9,111,COMPLETE,14.12.26.28
vcf,07:31.8,09:23.5,111,COMPLETE,14.12.28.82
vcf,07:31.3,09:24.3,113,COMPLETE,14.12.25.188
vcf,07:31.7,09:26.0,114,COMPLETE,14.12.20.48
vcf,07:31.4,09:25.7,114,COMPLETE,14.12.56.158
vcf,07:31.3,09:25.4,114,COMPLETE,14.12.24.185
vcf,07:31.4,09:26.4,115,COMPLETE,14.12.59.108
vcf,07:31.4,09:25.4,114,COMPLETE,14.12.57.77
vcf,07:31.7,09:26.9,115,COMPLETE,14.12.18.99
vcf,07:31.4,09:27.0,115,COMPLETE,14.12.16.183
